Date,Open,High,Low,Close,Volume,Adj Close
2010-11-15,5796.899902,5832.899902,5659.700195,5732.799805,743193300,5732.799805
2010-11-08,5875.399902,5902.100098,5711.700195,5796.899902,947896800,5796.899902
2010-11-01,5675.200195,5899.399902,5667.399902,5875.399902,891758500,5875.399902
2010-10-25,5741.399902,5794.299805,5630.899902,5675.200195,795296500,5675.200195
2010-10-18,5703.399902,5786.700195,5670.100098,5741.399902,747954800,5741.399902
2010-10-11,5657.600098,5770.899902,5597.50,5703.399902,842049700,5703.399902
2010-10-04,5592.899902,5707.299805,5550.600098,5657.600098,837057900,5657.600098
2010-09-27,5598.50,5650.299805,5506.100098,5592.899902,818211100,5592.899902
2010-09-20,5508.50,5635.700195,5471.700195,5598.50,760933000,5598.50
2010-09-13,5501.600098,5612.899902,5501.600098,5508.50,895083500,5508.50
2010-09-06,5428.200195,5511.50,5361.399902,5501.600098,752231900,5501.600098
2010-08-30,5201.600098,5454.00,5129.700195,5428.200195,744615100,5428.200195
2010-08-23,5195.299805,5268.399902,5070.899902,5201.600098,757734200,5201.600098
2010-08-16,5275.399902,5351.50,5160.399902,5195.299805,722527900,5195.299805
2010-08-09,5332.399902,5418.600098,5210.600098,5275.399902,891440800,5275.399902
2010-08-02,5258.00,5416.799805,5258.00,5332.399902,1038322500,5332.399902
2010-07-26,5312.600098,5411.50,5245.50,5258.00,1079736700,5258.00
2010-07-19,5158.899902,5328.50,5090.600098,5312.600098,875829600,5312.600098
2010-07-12,5132.899902,5287.299805,5128.600098,5158.899902,851213500,5158.899902
2010-07-05,4838.100098,5150.600098,4821.100098,5132.899902,902338000,5132.899902
2010-06-28,5046.50,5085.700195,4790.00,4838.100098,1104135000,4838.100098
2010-06-21,5250.799805,5331.50,5031.700195,5046.50,1006308900,5046.50
2010-06-14,5163.700195,5293.799805,5149.100098,5250.799805,1129371200,5250.799805
2010-06-07,5126.00,5184.399902,4984.700195,5163.700195,1132280200,5163.700195
2010-05-31,5188.399902,5262.50,5063.200195,5126.00,984657300,5126.00
2010-05-24,5062.899902,5240.299805,4898.50,5188.399902,1488437600,5188.399902
2010-05-17,5262.899902,5341.399902,4957.100098,5062.899902,1481922300,5062.899902
2010-05-10,5123.00,5436.00,5123.00,5262.899902,1516095500,5262.899902
2010-05-03,5553.299805,5566.00,5045.299805,5123.00,1638410100,5123.00
2010-04-26,5723.700195,5800.700195,5533.600098,5553.299805,1406120700,5553.299805
2010-04-19,5744.00,5797.00,5652.399902,5723.700195,1052427400,5723.700195
2010-04-12,5771.00,5833.700195,5726.399902,5744.00,959491100,5744.00
2010-04-05,5744.899902,5790.399902,5684.50,5771.00,639707500,5771.00
2010-03-29,5703.00,5744.899902,5646.299805,5744.899902,771947600,5744.899902
2010-03-22,5650.100098,5737.100098,5583.50,5703.00,1020908500,5703.00
2010-03-15,5625.700195,5691.200195,5588.200195,5650.100098,1207055100,5650.100098
2010-03-08,5599.799805,5646.700195,5563.100098,5625.700195,1002335200,5625.700195
2010-03-01,5354.50,5605.399902,5354.50,5599.799805,1165543500,5599.799805
2010-02-22,5358.200195,5395.50,5259.700195,5354.50,1326192900,5354.50
2010-02-15,5142.50,5366.100098,5142.50,5358.200195,1065989800,5358.200195
2010-02-08,5060.899902,5207.700195,5033.00,5142.50,1331023100,5142.50
2010-02-01,5188.50,5305.399902,5033.799805,5060.899902,1367481300,5060.899902
2010-01-25,5303.00,5330.600098,5145.700195,5188.50,1177661900,5188.50
2010-01-18,5455.399902,5531.899902,5253.00,5303.00,1215028100,5303.00
2010-01-11,5534.200195,5600.50,5450.399902,5455.399902,1075998700,5455.399902
2010-01-04,5412.899902,5551.700195,5410.799805,5534.200195,1013578500,5534.200195
2009-12-28,5402.399902,5445.200195,5390.399902,5412.899902,181493000,5412.899902
2009-12-21,5196.799805,5402.399902,5196.799805,5402.399902,412137500,5402.399902
2009-12-14,5261.600098,5335.299805,5196.799805,5196.799805,1219397700,5196.799805
2009-12-07,5322.399902,5328.799805,5175.700195,5261.600098,1133649600,5261.600098
